,Code,Meaning,Local Reference,2015,2016,2017,2018,2019,2020,2021,2022,EU
0,10Y1001A1001A016,"CTA|NIE, MBA|SEM(SONI), SCA|NIE",GB_NIR,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
1,10Y1001A1001A39I,"SCA|EE, MBA|EE, CTA|EE, BZN|EE, Estonia (EE)",EE,0.0755,0.0746,0.0709,0.07605,0.0767,0.07125,0.11185,0.1502,YES
2,10Y1001A1001A44P,"IPA|SE1, BZN|SE1, MBA|SE1, SCA|SE1",SE_1,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
3,10Y1001A1001A45N,"SCA|SE2, MBA|SE2, BZN|SE2, IPA|SE2",SE_2,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
4,10Y1001A1001A46L,"IPA|SE3, BZN|SE3, MBA|SE3, SCA|SE3",SE_3,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
5,10Y1001A1001A47J,"SCA|SE4, MBA|SE4, BZN|SE4, IPA|SE4",SE_4,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
6,10Y1001A1001A48H,"IPA|NO5, IBA|NO5, BZN|NO5, MBA|NO5, SCA|NO5",NO_5,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
7,10Y1001A1001A49F,"SCA|RU, MBA|RU, BZN|RU, CTA|RU",RU,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
8,10Y1001A1001A50U,"CTA|RU-KGD, BZN|RU-KGD, MBA|RU-KGD, SCA|RU-KGD",RU_KGD,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
9,10Y1001A1001A51S,"SCA|BY, MBA|BY, BZN|BY, CTA|BY",BY,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
10,10Y1001A1001A59C,"BZN|IE(SEM), MBA|IE(SEM), SCA|IE(SEM), LFB|IE-NIE, SNA|Ireland",IE_SEM,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
11,10Y1001A1001A63L,BZN|DE-AT-LU,DE_AT_LU,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
12,10Y1001A1001A64J,BZN|NO1A,NO_1A,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
13,10Y1001A1001A65H,Denmark (DK),DK,0.0591,0.06105,0.06225,0.0622,0.0626,0.05775,0.09375,0.1595,YES
14,10Y1001A1001A66F,BZN|IT-GR,IT_GR,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
