Date,Rate
2023-01-01,0.025458
2022-12-31,0.025458
2022-12-30,0.025458
2022-12-29,0.025437
2022-12-28,0.025388
2022-12-27,0.025473
2022-12-26,0.025527
2022-12-25,0.025527
2022-12-24,0.025527
2022-12-23,0.025527
2022-12-22,0.02553
2022-12-21,0.025539
2022-12-20,0.02557
2022-12-19,0.025532
2022-12-18,0.025555
2022-12-17,0.025555
2022-12-16,0.025555
2022-12-15,0.02542
2022-12-14,0.025431
2022-12-13,0.025563
2022-12-12,0.025667
2022-12-11,0.02584
2022-12-10,0.02584
2022-12-09,0.02584
2022-12-08,0.025694
2022-12-07,0.02575
2022-12-06,0.025783
2022-12-05,0.025672
2022-12-04,0.025973
2022-12-03,0.025973
2022-12-02,0.025973
2022-12-01,0.025866
2022-11-30,0.026086
2022-11-29,0.026291
2022-11-28,0.025936
2022-11-27,0.026091
2022-11-26,0.026091
2022-11-25,0.026091
2022-11-24,0.02597
2022-11-23,0.026109
2022-11-22,0.026372
2022-11-21,0.026519
2022-11-20,0.02622
2022-11-19,0.02622
2022-11-18,0.02622
2022-11-17,0.026214
2022-11-16,0.026103
2022-11-15,0.02602
2022-11-14,0.026238
2022-11-13,0.026324
2022-11-12,0.026324
2022-11-11,0.026324
2022-11-10,0.026728
2022-11-09,0.027121
2022-11-08,0.027049
2022-11-07,0.027245
2022-11-06,0.0274
2022-11-05,0.0274
2022-11-04,0.0274
2022-11-03,0.02772
2022-11-02,0.027447
2022-11-01,0.027443
2022-10-31,0.027364
2022-10-30,0.027155
2022-10-29,0.027155
2022-10-28,0.027155
2022-10-27,0.027125
2022-10-26,0.027041
2022-10-25,0.02716
2022-10-24,0.027411
2022-10-23,0.027635
2022-10-22,0.027635
2022-10-21,0.027635
2022-10-20,0.027695
2022-10-19,0.027699
2022-10-18,0.027508
2022-10-17,0.027817
2022-10-16,0.027802
2022-10-15,0.027802
2022-10-14,0.027802
2022-10-13,0.027937
2022-10-12,0.027933
2022-10-11,0.027922
2022-10-10,0.027923
2022-10-09,0.027789
2022-10-08,0.027789
2022-10-07,0.027789
2022-10-06,0.027527
2022-10-05,0.027415
2022-10-04,0.027259
2022-10-03,0.027872
2022-10-02,0.027695
2022-10-01,0.027695
2022-09-30,0.027695
2022-09-29,0.027928
2022-09-28,0.028282
2022-09-27,0.028128
