territory,country,population
AL,Albania,2777689
AM,Armenia,2780469
AT,Austria,9041851
AZ,Azerbaijan,10141756
BY,Belarus,9534954
BE,Belgium,11685814
BA,Bosnia and Herzegovina,3233526
BG,Bulgaria,6465097
HR,Croatia,3856600
CY,Cyprus,912703
CZ,Czechia,10672118
DK,Denmark,5903037
EE,Estonia,1348840
FI,Finland,5556106
FR,France,67971311
GE,Georgia,3744385
DE,Germany,83797985
GR,Greece,10426919
HU,Hungary,9643048
IE,Ireland,5127170
IT,Italy,58940425
XK,Kosovo,1761864
LV,Latvia,1879383
LT,Lithuania,2831639
LU,Luxembourg,653103
MT,Malta,531113
MD,Moldova,2558244
ME,Montenegro,617189
NL,Netherlands,17700982
MK,North Macedonia,1833534
NO,Norway,5457127
PL,Poland,36821749
PT,Portugal,10409704
RO,Romania,19047009
RU,Russia,144713314
RS,Serbia,6730777
SK,Slovakia,5431752
SI,Slovenia,2111986
ES,Spain,47778340
SE,Sweden,10486941
CH,Switzerland,8775760
TR,Turkey,84979913
UA,Ukraine,39701739
UK,United Kingdom,67508936
